,,,,,,,,Input Method,Input Method,"Web Fonts
",Web Fonts,"            i18n support (plurals, gender, grammar)",Language Selector,"            i18n support (plurals, gender, grammar)",Translation,Translation Aids,Translation Aids,Translation Aids
guj,gu,,Gujarati,ગુજરાતી,gu,,,✔,✔,✔,✔,✔,✔,✔,✔,,,
gur,gur,,Farefare,Gurenɛ,,,,,,,,,✔,,✔,,,
hak,hak,,Hakka Chinese,Hak-kâ-fa,hak,,,,,,,,✔,,✔,,,
hat,ht,,Haitian; Haitian Creole,Kreyòl ayisyen,ht,,,,,,,,✔,,✔,,,
hau,ha,,Hausa,Hausa,ha,,,,,,,,✔,,✔,,,
hau-arab,ha-arab,,,هَوُسَ,,,,,,,,,✔,,✔,,,
hau-latn,ha-latn,,,Hausa,,,,,,,,,✔,,✔,,,
haw,haw,,Hawaiian,Hawai`i,haw,,,,,,,,✔,,✔,,,
hbs,sh,✔,Serbo-Croatian,srpskohrvatski / српскохрватски,sh,,,,,,,,✔,,✔,,,
heb,he,,Hebrew,עברית,he,,,,✔,,✔,,✔,✔,✔,,,
her,hz,,Herero,Otsiherero,,,,,,,,,✔,,✔,,,
hif,hif,,Fiji Hindi,Fiji Hindi,hif,,,,,,,,✔,,✔,,,
hif-deva,hif-deva,,,फ़ीजी हिन्दी,,,,,,,,,✔,,✔,,,
hif-latn,hif-latn,,,Fiji Hindi,,,,,,,,,✔,,✔,,,
hil,hil,,Hiligaynon,Ilonggo,,,,,,,,,✔,,✔,,,
hin,hi,,Hindi,हिन्दी,hi,,,,✔,,✔,,✔,,✔,,,
hmo,ho,,Hiri Motu,Hiri Motu,,,,,,,,,✔,,✔,,,
hrv,hr,,Croatian,hrvatski,hr,,,,✔,,,,✔,,✔,,,
hsb,hsb,,Upper Sorbian,hornjoserbsce,hsb,,,,,,,,✔,✔,✔,,,
hsn,hsn,,Xiang Chinese,湘语,,,,,,,,,✔,,✔,,,
hun,hu,,Hungarian,magyar,hu,,,,,,✔,,✔,✔,✔,,,
hun-formal,hu-formal,,,Magyar (magázó),,,,,,,,,✔,,✔,,,
hye,hy,,Armenian,Հայերեն,hy,,,,✔,,,,✔,✔,✔,,,
ibo,ig,,Igbo,Igbo,ig,,,,,,,,✔,,✔,,,
ido,io,,Ido,Ido,io,,,,,,,,✔,,✔,,,
iii,ii,,Sichuan Yi; Nuosu,ꆇꉙ,,,,,,,,,✔,,✔,,,
ike,iu,,Eastern Canadian Inuktitut,ᐃᓄᒃᑎᑐᑦ,iu,,,,,,,,✔,,✔,,,
ike-cans,ike-cans,,,ᐃᓄᒃᑎᑐᑦ,,,,,,,,,✔,,✔,,,
ike-latn,ike-latn,,,inuktitut,,,,,,,,,✔,,✔,,,
iku,iu,,Inuktitut,ᐃᓄᒃᑎᑐᑦ/inuktitut,,,,,,,,,✔,,✔,,,
ile,ie,,Interlingue; Occidental,Interlingue,ie,,,,,,,,✔,,✔,,,
ilo,ilo,,Iloko,Ilokano,ilo,,,,,,,,✔,,✔,,,
ina,ia,,Interlingua,interlingua,ia,,,,,,,,✔,,✔,,,
ind,id,,Indonesian,Bahasa Indonesia,id,,,,,,✔,,✔,,✔,,,
inh,inh,,Inguish,ГӀалгӀай,,,,,,,,,✔,,✔,,,
ipk,ik,✔,Inupiaq,Iñupiak,ik,,,,,,,,✔,,✔,,,
isl,is,,Icelandic,íslenska,is,,,,✔,,✔,,✔,,✔,,,
ita,it,,Italian,italiano,it,,,,,,✔,,✔,,✔,,,
jam,jam,,Jamaican,Patois,,X,,,,,,,✔,,✔,,,
jav,jv,,Javanese,Basa Jawa,jv,,,,✔,,,,✔,,✔,,,
jbo,jbo,,Lojban,Lojban,jbo,,,,,,,,✔,,✔,,,
jpn,ja,,Japanese,日本語,ja,,,,,,,,✔,,✔,,,
jut,jut,,Jutlandic,jysk,,X,,,,,,,✔,,✔,,,
kaa,kaa,,Kara-Kalpak,Qaraqalpaqsha,kaa,,,,,,,,✔,,✔,,,
kab,kab,,Kabyle,Taqbaylit,kab,,,,,,,,✔,,✔,,,
kal,kl,,Kalaallisut; Greenlandic,kalaallisut,kl,,,,,,,,✔,,✔,,,
kan,kn,,Kannada,ಕನ್ನಡ,kn,,,,✔,,✔,,✔,,✔,,,
kas,ks,,Kashmiri,कॉशुर / کٲشُر,ks,,,,,,,,✔,,✔,,,
kas-arab,ks-arab,,Kashmiri Arabic Script,کٲشُر,,,,,,,,,✔,,✔,,,
kas-deva,ks-deva,,Kashmiri Devanagari Script,कॉशुर,,,,,✔,,,,✔,,✔,,,
kat,ka,,Georgian,ქართული,ka,,,,✔,,,,✔,,✔,,,
kau,kr,✔,Kanuri,Kanuri,,,,,,,,,✔,,✔,,,
kaz,kk,,Kazakh,қазақша,kk,,,,✔,,,,✔,,✔,,,
kaz-arab,kk-arab,,,ازاقشا (تٴوتە),kk-Arab,X,,,,,,,✔,,✔,,,
kaz-cn,kk-cn,,,ازاقشا (تٴوتە),,X,,,,,,,✔,,,,,
kaz-cyrl,kk-cyrl,,,қазақша,,X,,,,,,,✔,,✔,,,
kaz-kz,kk-kz,,,қазақша,,X,,,,,,,✔,,,,,
kaz-latn,kk-latn,,,qazaqşa,kk-Latn,X,,,,,,,✔,,✔,,,
kaz-tr,kk-tr,,,qazaqşa,,X,,,,,,,✔,,,,,
kbd,kbd,,Kabardian,Адыгэбзэ,,,,,✔,,,,✔,,✔,,,
kbd-cyrl,kbd-cyrl,,,Адыгэбзэ,,X,,,,,,,✔,,✔,,,
kbd-latn,kbd-latn,,,Qabardjajəbza,,,,,,,,,✔,,✔,,,
kea,kea,,Kabuverdianu,Kabuverdianu,,,,,,,,,✔,,✔,,,
